地区           ,岗位名称             ,招聘机构        ,薪水         ,行业
北京 海淀区 双榆树   ,视觉算法工程师          ,nreal.ai    ,18k-35k    ,计算机硬件
北京 海淀区 知春路   ,算法工程师            ,智明星通        ,25k-40k    ,游戏
北京 东城区 雍和宫   ,语音评测算法工程师        ,VIPKID      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,高级算法工程师          ,百度          ,21k-40k    ,互联网
北京 海淀区 北京大学  ,机器写作算法工程师        ,北大方正        ,25k-30k    ,互联网
北京 东城区 东单    ,广告算法工程师          ,Opera       ,25k-50k    ,移动互联网
北京 朝阳区 望京    ,NLP算法工程师         ,阿里巴巴集团      ,40k-70k    ,互联网
北京 朝阳区 望京    ,搜索算法工程师          ,一点资讯        ,24k-40k    ,移动互联网
北京 朝阳区 望京    ,广告算法工程师          ,一点资讯        ,24k-40k    ,移动互联网
北京 朝阳区 望京    ,广告算法工程师          ,一点资讯        ,26k-40k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师          ,多牛传媒        ,20k-40k    ,广告营销
北京 朝阳区 望京    ,人脸算法工程师          ,新氧          ,20k-40k    ,O2O
北京 朝阳区 望京    ,搜索算法工程师          ,映客直播        ,40k-70k    ,移动互联网
北京 海淀区 马连洼   ,图像OCR算法工程师       ,百度          ,20k-40k    ,互联网
北京 海淀区 万柳    ,算法工程师/leader     ,艾特信息        ,30k-60k    ,电子商务
北京 海淀区 上地    ,算法工程师（OCR方向）     ,跟谁学         ,25k-50k    ,互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,跟谁学         ,30k-55k    ,互联网
北京 朝阳区 望京    ,机器视觉算法工程师        ,马上消费金融      ,15k-30k    ,互联网金融
北京 石景山区 鲁谷   ,图谱算法工程师          ,中译语通        ,20k-40k    ,数据服务
北京 朝阳区 太阳宫   ,资深搜索算法工程师        ,Boss直聘      ,30k-50k    ,人力资源服务
北京 海淀区 中关村   ,NLP算法工程师         ,爱奇艺         ,25k-50k    ,互联网
北京 海淀区 知春路   ,算法工程师            ,网梯科技发展有限公司  ,18k-30k    ,计算机软件
北京 海淀区 西二旗   ,算法工程师            ,北京配天        ,20k-30k    ,智能硬件
北京 海淀区 中关村   ,算法工程师            ,量化派         ,15k-30k    ,互联网金融
北京 海淀区 上地    ,算法工程师            ,华捷艾米        ,20k-35k    ,移动互联网
北京 海淀区 上地    ,算法工程师            ,华捷艾米        ,20k-30k    ,移动互联网
北京 海淀区 知春路   ,算法工程师            ,SensorsData ,20k-40k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,嘀嗒出行        ,20k-40k    ,移动互联网
北京           ,数据算法工程师          ,京东数字科技      ,30k-50k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,北京怡成        ,15k-30k    ,医疗健康
北京 朝阳区 朝外    ,算法工程师            ,悠易互通        ,20k-40k    ,广告营销
北京 海淀区 西北旺   ,高级算法工程师          ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 知春路   ,算法工程师            ,天眼查         ,20k-40k    ,互联网
北京 海淀区 上地    ,NLP算法工程师         ,立思辰         ,15k-25k    ,计算机软件
北京 朝阳区 三里屯   ,算法工程师            ,洋钱罐         ,15k-30k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,云途时代        ,15k-30k    ,互联网
北京 海淀区 上地    ,算法工程师            ,茄子快传        ,30k-60k    ,互联网
北京 海淀区 清河    ,算法工程师            ,石头世纪        ,12k-24k    ,智能硬件
北京 朝阳区 三元桥   ,算法工程师            ,宽凳科技        ,25k-50k    ,互联网
北京 朝阳区 酒仙桥   ,风控算法工程师          ,微店          ,30k-60k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,雪球公司        ,30k-60k    ,互联网金融
北京 海淀区 万柳    ,算法工程师            ,招才猫         ,20k-35k    ,互联网
北京 海淀区 上地    ,nlp算法工程师         ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,NLP算法工程师         ,滴滴出行        ,20k-40k    ,移动互联网
北京 朝阳区 小营    ,算法工程师            ,大地宏图        ,25k-40k    ,互联网
北京 海淀区 北京大学  ,算法工程师            ,云迹科技        ,20k-35k    ,智能硬件
北京 海淀区 清河    ,电机算法工程师          ,纳恩博         ,15k-30k    ,智能硬件
北京 朝阳区 朝外    ,算法工程师            ,宽凳科技        ,20k-40k    ,互联网
北京 朝阳区 双井    ,算法工程师            ,品友互动        ,20k-40k    ,互联网
北京 海淀区 学院路   ,算法工程师            ,清研讯科TSINGOAL,15k-30k    ,智能硬件
北京 朝阳区 望京    ,算法工程师            ,英威诺         ,25k-40k    ,互联网
北京 朝阳区 三元桥   ,算法工程师            ,云智慧         ,15k-30k    ,企业服务
北京 朝阳区 酒仙桥   ,数据算法工程师          ,同程艺龙        ,20k-35k    ,互联网
北京 海淀区 西北旺   ,风控算法工程师          ,轻易贷         ,25k-50k    ,互联网金融
北京 海淀区 上地    ,算法工程师            ,君正集成        ,8k-13k     ,计算机软件
北京 昌平区 沙河    ,算法工程师            ,永新医疗        ,8k-15k     ,医疗健康
北京 朝阳区 三元桥   ,算法工程师            ,云智慧         ,15k-30k    ,企业服务
北京 海淀区 中关村   ,算法工程师            ,ITARGE      ,30k-50k    ,计算机软件
北京 海淀区 牡丹园   ,算法工程师            ,最右          ,25k-50k    ,互联网
北京 海淀区 清河    ,算法工程师            ,下厨房         ,20k-30k    ,互联网
北京 大兴区 亦庄    ,资深搜索算法工程师        ,达达-京东到家     ,35k-65k    ,O2O
北京 朝阳区 小营    ,算法工程师/研究员        ,中信百信银行      ,20k-40k    ,银行
北京 海淀区 北京大学  ,算法工程师            ,小小黛朵        ,20k-30k    ,互联网金融
北京 海淀区 甘家口   ,算法工程师            ,北京好脉        ,25k-40k    ,移动互联网
北京 海淀区 牡丹园   ,算法工程师            ,小年糕         ,15k-30k    ,移动互联网
北京 海淀区 牡丹园   ,算法工程师2           ,小年糕         ,15k-30k    ,移动互联网
北京 朝阳区 望京    ,算法工程师            ,七鑫易维        ,15k-25k    ,智能硬件
北京 海淀区 苏州街   ,数据挖掘算法工程师        ,好未来         ,20k-40k    ,互联网
北京 海淀区 中关村   ,机器学习算法工程师        ,有利网         ,18k-36k    ,互联网金融
北京 朝阳区 朝外    ,算法工程师            ,宽凳科技        ,20k-40k    ,互联网
北京 朝阳区 望京    ,算法工程师-机器学习       ,阿里巴巴集团      ,5k-10k     ,互联网
北京 西城区 月坛    ,算法工程师            ,网联          ,20k-40k    ,互联网金融
北京 海淀区 上地    ,算法工程师            ,尚水信息        ,7k-10k     ,计算机软件
北京 海淀区 中关村   ,知识图谱算法工程师        ,好未来         ,30k-60k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,好好住         ,25k-50k    ,互联网
北京 海淀区 中关村   ,腾讯广告算法工程师        ,腾讯          ,30k-60k    ,互联网
北京 海淀区 中关村   ,高级/资深算法工程师       ,爱奇艺         ,25k-50k    ,互联网
北京 朝阳区 望京    ,高级搜索算法工程师        ,阿里巴巴高德      ,28k-56k    ,互联网
北京 海淀区 清河    ,算法工程师            ,格灵深瞳        ,15k-20k    ,计算机软件
北京 朝阳区 望京    ,机器学习算法工程师        ,Suning      ,30k-35k·14薪,批发/零售
北京 大兴区 亦庄    ,算法工程师            ,航天易联        ,10k-20k    ,其他行业
北京 海淀区 清河    ,算法工程师            ,简理财         ,20k-30k    ,互联网金融
北京 朝阳区 十里堡   ,风控算法工程师          ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 中关村   ,NLP算法工程师         ,腾讯          ,60k-90k    ,互联网
北京 海淀区 马连洼   ,数据挖掘算法工程师        ,北京恒昌利通      ,18k-36k    ,互联网金融
北京 海淀区 知春路   ,算法工程师            ,原力棱镜        ,20k-40k    ,游戏
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
